layer,head,pair_count,mean_benign_projection,mean_malicious_projection,mean_delta_projection,max_delta_projection,min_delta_projection,positive_delta_frac
12,15,4,0.023426055908203125,0.1395263671875,0.11610031127929688,0.12979888916015625,0.10205078125,1.0
12,0,4,-0.01467132568359375,0.038970947265625,0.05364227294921875,0.0548095703125,0.05225372314453125,1.0
12,5,4,0.03159332275390625,0.079345703125,0.04775238037109375,0.0527191162109375,0.03875732421875,1.0
12,2,4,-0.005448460578918457,0.035400390625,0.04084885120391846,0.048828125,0.03586435317993164,1.0
12,28,4,-0.021270751953125,0.01078033447265625,0.03205108642578125,0.03409576416015625,0.03121185302734375,1.0
12,21,4,-0.019039154052734375,0.00876617431640625,0.027805328369140625,0.02953338623046875,0.02579498291015625,1.0
12,9,4,-0.1254425048828125,-0.0992431640625,0.0261993408203125,0.03173828125,0.01971435546875,1.0
12,4,4,-0.07573699951171875,-0.053924560546875,0.02181243896484375,0.035491943359375,0.00738525390625,1.0
12,23,4,-0.002141028642654419,0.019195556640625,0.02133658528327942,0.022886276245117188,0.019067883491516113,1.0
12,1,4,0.017360687255859375,0.03179931640625,0.014438629150390625,0.0156402587890625,0.0136566162109375,1.0
12,13,4,0.0023317337036132812,0.01617431640625,0.013842582702636719,0.014499664306640625,0.013591766357421875,1.0
12,26,4,0.027862548828125,0.040374755859375,0.01251220703125,0.0137939453125,0.0111083984375,1.0
