variant_id,review_status,review_type,review_reason,syntax_ok,runtime_target_ok,behavior_equivalent_confidence,review_notes,parse_attempted,parse_error_count,parse_error_messages,validated_runtimes,invariant_checks_ok,invariant_failures
variant_0b307e2edf09,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_cc92d2740e7e,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1;invariant_checks_failed",True,False,low,,True,0,,tree_sitter_powershell,False,encodedcommand_presence_changed
variant_359921966f0d,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_6d1f933e995a,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1;invariant_checks_failed",True,False,low,,True,0,,tree_sitter_powershell,False,encodedcommand_presence_changed
variant_167fb2004676,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_1bd86d998cae,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_293a713e738b,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_00a23acb22d8,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_3510816eb95b,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_69b651375da2,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_7188db8f8c6c,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_1412b31851d8,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_bb25f1f82276,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_c901b03d54db,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_4588f6a4d59a,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_c5355ff40e49,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_087c9283d18b,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_13de42c9715c,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_74308ff9b487,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_5002c5314144,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_f4ecbc7776be,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_897a51318086,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_89e33502e791,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_d5e7d30b77f6,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_fc448b98d45d,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_463664012f62,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_273d9d236084,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
variant_4291ee4b70f7,needs_review,tree_sitter_fallback,"tree_sitter_only_missing_required_runtime:pwsh_7,windows_powershell_5_1",True,False,low,,True,0,,tree_sitter_powershell,True,
