patch_label,layer,resid_kind,subspace_dim,base_logit_diff,patched_logit_diff,delta_logit_diff,effect_pct,basis_label,basis_mode,pair_idx,pair_indicator,benign_filename,malicious_filename,flip_to_benign
contrastive_pre13_mean_delta,13,pre,1,0.125,-0.296875,-0.421875,-337.5,mean_delta,single,61,Invoke-Expression,1767.ps1,2019.ps1,True
contrastive_pre13_logit_readout,13,pre,1,0.125,0.125,0.0,0.0,logit_readout,single,61,Invoke-Expression,1767.ps1,2019.ps1,False
contrastive_pre13_all,13,pre,2,0.125,-0.3125,-0.4375,-350.0,mean_delta+logit_readout,all,61,Invoke-Expression,1767.ps1,2019.ps1,True
contrastive_pre13_mean_delta,13,pre,1,0.125,-0.328125,-0.453125,-362.5,mean_delta,single,62,Invoke-Expression,583.ps1,2019.ps1,True
contrastive_pre13_logit_readout,13,pre,1,0.125,0.125,0.0,0.0,logit_readout,single,62,Invoke-Expression,583.ps1,2019.ps1,False
contrastive_pre13_all,13,pre,2,0.125,-0.328125,-0.453125,-362.5,mean_delta+logit_readout,all,62,Invoke-Expression,583.ps1,2019.ps1,True
contrastive_pre13_mean_delta,13,pre,1,0.125,-0.359375,-0.484375,-387.5,mean_delta,single,65,Invoke-Expression,489.ps1,2019.ps1,True
contrastive_pre13_logit_readout,13,pre,1,0.125,0.125,0.0,0.0,logit_readout,single,65,Invoke-Expression,489.ps1,2019.ps1,False
contrastive_pre13_all,13,pre,2,0.125,-0.359375,-0.484375,-387.5,mean_delta+logit_readout,all,65,Invoke-Expression,489.ps1,2019.ps1,True
