pair_idx,pair_indicator,benign_filename,malicious_filename,delta_norm
1,-EncodedCommand,1735.ps1,3321.ps1,2.16796875
2,DownloadFile,2670.ps1,137.ps1,2.326171875
3,DownloadString,1113.ps1,450.ps1,3.2265625
4,FromBase64String,1238.ps1,3537.ps1,1.451171875
5,FromBase64String,1670.ps1,3780.ps1,1.974609375
6,FromBase64String,1444.ps1,2139.ps1,1.9599609375
7,FromBase64String,2781.ps1,2792.ps1,1.4208984375
8,FromBase64String,4207.ps1,3988.ps1,1.578125
9,IEX,1637.ps1,784.ps1,2.365234375
10,Invoke-Expression,329.ps1,3335.ps1,2.123046875
11,Invoke-Expression,485.ps1,3387.ps1,2.181640625
12,Invoke-Expression,489.ps1,3955.ps1,2.28515625
13,Invoke-Expression,583.ps1,722.ps1,2.013671875
14,Invoke-Expression,1767.ps1,2019.ps1,1.919921875
15,Invoke-Expression,3441.ps1,2789.ps1,1.9970703125
16,Invoke-Expression,586.ps1,3987.ps1,1.9443359375
17,Invoke-WebRequest,3784.ps1,1362.ps1,2.21875
18,Invoke-WebRequest,4058.ps1,3834.ps1,2.130859375
