seed_primary_indicator,technique_id,variant_count,evasion_success_rate,classification_change_rate,mean_variant_logit_diff,mean_logit_delta_vs_seed
-EncodedCommand,iex_call_operator_string,2,0.0,0.0,5.40625,0.921875
-EncodedCommand,iex_scriptblock_create,2,0.0,0.0,5.4375,0.953125
-EncodedCommand,split_quoted_encodedcommand_literal,2,0.0,0.0,4.6875,0.203125
DownloadFile,downloadfile_psobject_invoke,4,0.0,0.0,5.203125,-1.6796875
DownloadFile,start_process_call_operator_string,4,0.0,0.0,6.5546875,-0.328125
DownloadString,downloadstring_psobject_invoke,4,0.0,0.0,1.453125,-1.41015625
DownloadString,iex_call_operator_string,4,0.0,0.0,4.28515625,1.421875
DownloadString,iex_scriptblock_create,4,0.0,0.0,3.5859375,0.72265625
FromBase64String,downloadstring_psobject_invoke,2,1.0,1.0,-0.09375,-0.59375
Invoke-Expression,invoke_expression_call_operator_string,4,0.0,0.0,0.359375,0.234375
Invoke-Expression,invoke_expression_scriptblock_create,4,0.0,0.0,0.015625,-0.109375
Invoke-WebRequest,invoke_webrequest_alias,4,1.0,1.0,-0.28125,-0.4375
Invoke-WebRequest,invoke_webrequest_call_operator_string,4,0.0,0.0,0.21875,0.0625
